,activation,batch_size,patience,epoch,learning_rate,model_name,kernel,filters,mean,std
24,relu,32,10,100,0.001,CNN,6,128,0.9182105760778031,0.0022561608479342464
25,relu,32,3,100,0.001,CNN,3,128,0.9179803840761874,0.0024934062989078773
26,relu,32,5,100,0.001,CNN,6,64,0.9178131339709495,0.01212893341518874
27,relu,64,5,100,0.001,CNN,6,128,0.9178016002638821,0.012516179372316942
28,relu,256,3,100,0.005,CNN,6,64,0.9177810472754322,0.003737062316979817
29,relu,256,10,100,0.005,CNN,3,32,0.9177331010275517,0.007318193518792107
30,relu,256,5,100,0.001,CNN,12,64,0.9176326425381873,0.008999178273199123
31,relu,256,10,100,0.001,CNN,12,128,0.9175854372046824,0.006836346156622563
32,relu,128,10,100,0.001,CNN,12,64,0.9175560379919222,0.005134043292283964
33,relu,128,10,100,0.001,CNN,3,64,0.9170171297406827,0.013568878123780033
34,relu,32,5,100,0.001,CNN,12,128,0.9169398397133164,0.0031454037409342594
35,relu,32,10,100,0.005,CNN,12,32,0.9168447337461184,0.013754394269771587
36,relu,32,10,100,0.001,CNN,12,64,0.9164310847070309,0.010270619684582717
37,relu,128,10,100,0.001,CNN,3,128,0.9163755629968954,0.00511525662199276
38,relu,128,5,100,0.005,CNN,12,32,0.9163272929036298,0.006831055008229914
39,relu,256,3,100,0.005,CNN,3,128,0.9161240138469894,0.007116253955459016
40,relu,64,3,100,0.01,CNN,6,32,0.9160884888116824,0.008999506702338863
41,relu,256,10,100,0.005,CNN,6,64,0.9160630124481534,0.012619204245714886
42,relu,64,5,100,0.005,CNN,12,64,0.915945689957392,0.012592259571124063
43,relu,128,3,100,0.001,CNN,12,128,0.915803596861336,0.007184314881758356
44,relu,32,3,100,0.001,CNN,12,32,0.9157416966158075,0.013375536265926415
45,relu,256,5,100,0.005,CNN,12,128,0.9155943194632833,0.008591295437480578
46,relu,128,10,100,0.005,CNN,12,32,0.9155651667291836,0.009256108760711574
47,relu,128,3,100,0.01,CNN,3,32,0.9154349277256948,0.01368679024459245
48,relu,32,10,100,0.001,CNN,6,64,0.9154069677378508,0.014187912366992952
49,relu,256,10,100,0.005,CNN,6,128,0.9152602040220429,0.014904634586896268
50,relu,64,5,100,0.005,CNN,6,64,0.9151713215576457,0.004025652951281097
51,relu,32,10,100,0.001,CNN,12,128,0.9148465708655881,0.00627723769169934
52,relu,256,5,100,0.005,CNN,6,32,0.9146179645595195,0.010063012805416724
53,relu,32,10,100,0.001,CNN,12,32,0.9145936754304828,0.017519904749240787
54,relu,256,10,100,0.005,CNN,12,64,0.9145311853571326,0.018010331175565445
55,relu,128,5,100,0.001,CNN,3,32,0.9144472878392111,0.01540508266204043
56,relu,128,5,100,0.005,CNN,12,64,0.9139847681356041,0.009602940028061219
57,relu,64,10,100,0.005,CNN,12,64,0.9139685277069759,0.012205215706919686
58,relu,128,3,100,0.01,CNN,6,128,0.9139360661057984,0.012761355495818114
59,relu,64,10,100,0.001,CNN,6,128,0.9139174948612355,0.008612781062042083
60,relu,32,3,100,0.005,CNN,12,32,0.9136772259000773,0.010657664829547598
61,relu,128,3,100,0.001,CNN,12,64,0.9136723567222802,0.017665127346515486
62,relu,128,10,100,0.01,CNN,12,64,0.9136017983293941,0.016335870029031748
63,relu,128,10,100,0.001,CNN,12,32,0.9135585313216271,0.010409701960253382
64,relu,256,3,100,0.005,CNN,12,128,0.9135418677309488,0.017711613253313278
65,relu,256,10,100,0.005,CNN,12,32,0.9134721468149968,0.010625302694180902
66,relu,64,3,100,0.001,CNN,6,32,0.9134465716437431,0.022146505523921813
67,relu,256,10,100,0.001,CNN,6,64,0.9133256106904751,0.016735919250329793
68,relu,64,10,100,0.005,CNN,6,32,0.9132958928577616,0.009451724815848602
69,relu,128,3,100,0.005,CNN,3,32,0.9131840004915462,0.005553823104199485
70,relu,128,3,100,0.001,CNN,12,32,0.913138523440629,0.014967065762399588
71,relu,128,3,100,0.005,CNN,6,64,0.9130135391889062,0.013560546841625198
72,relu,128,3,100,0.01,CNN,12,32,0.9130004011306384,0.009537817240475881
73,relu,256,3,100,0.001,CNN,6,64,0.9129913443611158,0.013527085398708415
74,relu,256,5,100,0.005,CNN,6,64,0.9128590968586544,0.015558798019332834
75,relu,128,5,100,0.001,CNN,6,32,0.9127773155020633,0.013745330679371674
76,relu,64,5,100,0.005,CNN,12,128,0.9127712297113079,0.012083727657201787
77,relu,128,3,100,0.005,CNN,12,128,0.9127650809937772,0.010179934416648544
78,relu,64,3,100,0.005,CNN,12,32,0.912642122185899,0.017043484111539154
79,relu,256,10,100,0.005,CNN,6,32,0.9126410458664486,0.0011103166637077562
80,relu,128,5,100,0.001,CNN,12,64,0.9125563254910283,0.007598867227266294
81,relu,64,5,100,0.001,CNN,6,64,0.9124706258400198,0.00612780105649819
82,relu,128,5,100,0.005,CNN,6,32,0.9124537399377227,0.017121602534375693
83,relu,64,10,100,0.005,CNN,3,32,0.912437297227318,0.007149482458561199
84,relu,64,10,100,0.01,CNN,12,64,0.9122666508029259,0.019222331999887217
